按年月別分_Year_and_month,總計_Total,男_Male,女_Female,國中及以下_合計_Junior_high_and_below_Total,國中及以下_男_Junior_high_and_below_Male,國中及以下_女_Junior_high_and_below_Female,國中及以下_國小及以下_小計_Junior_high_and_below_Primary_school_and_below_Total,國中及以下_國小及以下_男_Junior_high_and_below_Primary_school_and_below_Male,國中及以下_國小及以下_女_Junior_high_and_below_Primary_school_and_below_Female,國中及以下_國中_小計_Junior_high_and_below_Junior_high_Total,國中及以下_國中_男_Junior_high_and_below_Junior_high_Male,國中及以下_國中_女_Junior_high_and_below_Junior_high_Female,高中職_合計_Senior_high_and_vocational_Total,高中職_男_Senior_high_and_vocational_Male,高中職_女_Senior_high_and_vocational_Female,高中職_高中_小計_Senior_high_and_vocational_Senior_high_Total,高中職_高中_男_Senior_high_and_vocational_Senior_high_Male,高中職_高中_女_Senior_high_and_vocational_Senior_high_Female,高中職_高職_小計_Senior_high_and_vocational_Vocational_Total,高中職_高職_男_Senior_high_and_vocational_Vocational_Male,高中職_高職_女_Senior_high_and_vocational_Vocational_Female,大專及以上_合計_Junior_college_and_above_Total,大專及以上_男_Junior_college_and_above_Male,大專及以上_女_Junior_college_and_above_Female,大專及以上_專科_小計_Junior_college_and_above_Junior_college_Total,大專及以上_專科_男_Junior_college_and_above_Junior_college_Male,大專及以上_專科_女_Junior_college_and_above_Junior_college_Female,大專及以上_大學_小計_Junior_college_and_above_University_Total,大專及以上_大學_男_Junior_college_and_above_University_Male,大專及以上_大學_女_Junior_college_and_above_University_Female,大專及以上_研究所_小計_Junior_college_and_above_Graduate_school_Total,大專及以上_研究所_男_Junior_college_and_above_Graduate_school_Male,大專及以上_研究所_女_Junior_college_and_above_Graduate_school_Female
"８９年平均 Ave., 2000",16963,8452,8511,7328,3461,3867,4447,1849,2598,2881,1612,1269,5687,2844,2843,1746,950,796,3941,1894,2047,3948,2147,1800,2070,1082,988,1878,1065,812,-,-,-
"９０年平均 Ave., 2001",17179,8551,8628,7178,3388,3789,4380,1811,2570,2797,1578,1219,5788,2884,2904,1790,974,815,3999,1910,2088,4213,2278,1935,2167,1124,1043,2047,1154,892,-,-,-
"９１年平均 Ave., 2002",17387,8642,8745,6987,3297,3690,4298,1756,2542,2689,1541,1148,5880,2915,2965,1825,992,833,4055,1922,2132,4520,2430,2090,2232,1149,1083,2288,1281,1007,-,-,-
"９２年平均 Ave., 2003",17572,8722,8849,6837,3238,3599,4191,1716,2474,2646,1522,1124,5924,2929,2995,1829,986,843,4095,1943,2152,4811,2555,2255,2272,1163,1110,2538,1393,1145,-,-,-
"９３年平均 Ave., 2004",17760,8806,8954,6702,3178,3524,4089,1676,2413,2613,1502,1110,5954,2934,3020,1827,983,845,4127,1952,2175,5104,2693,2410,2305,1171,1134,2798,1522,1276,-,-,-
"９４年平均 Ave., 2005",17949,8890,9058,6573,3110,3463,3984,1626,2359,2589,1485,1104,5951,2937,3014,1814,974,840,4137,1963,2173,5424,2843,2582,2332,1174,1158,3093,1669,1424,-,-,-
"９５年平均 Ave., 2006",18166,8992,9175,6455,3053,3402,3869,1578,2291,2586,1475,1111,5977,2948,3029,1818,971,847,4158,1977,2181,5735,2990,2744,2349,1177,1172,3386,1814,1573,-,-,-
"９６年平均 Ave., 2007",18392,9095,9297,6334,2990,3344,3765,1532,2233,2568,1458,1110,6013,2976,3037,1829,974,855,4184,2002,2182,6045,3129,2916,2363,1185,1178,3683,1945,1738,-,-,-
"９７年平均 Ave., 2008",18623,9201,9422,6205,2931,3275,3676,1492,2184,2530,1439,1091,6023,2985,3038,1821,967,854,4202,2018,2184,6394,3285,3109,2388,1191,1198,4006,2095,1911,-,-,-
"９８年平均 Ave., 2009",18855,9307,9547,6096,2884,3213,3596,1459,2137,2500,1425,1075,6047,2998,3048,1832,968,864,4215,2030,2185,6712,3426,3286,2415,1198,1217,4297,2228,2069,-,-,-
"９９年平均 Ave., 2010",19062,9385,9678,5960,2823,3136,3505,1421,2084,2455,1403,1052,6096,3020,3075,1862,978,885,4233,2043,2191,7006,3541,3466,2445,1206,1239,4562,2335,2227,-,-,-
"        １００年平均 Ave., 2011",19253,9455,9798,5829,2786,3043,3407,1387,2019,2422,1398,1024,6131,3033,3098,1892,989,904,4239,2044,2194,7293,3637,3656,2462,1209,1253,3889,1850,2039,943,578,365
"        １０１年平均 Ave., 2012",19436,9530,9906,5699,2771,2929,3311,1373,1938,2388,1398,991,6158,3061,3098,1920,1004,916,4238,2057,2182,7578,3699,3879,2478,1212,1266,4091,1897,2194,1009,590,419
"        １０２年平均 Ave., 2013",19587,9592,9995,5560,2765,2795,3214,1371,1843,2346,1394,952,6177,3091,3086,1945,1019,926,4232,2072,2160,7850,3737,4113,2489,1214,1275,4287,1926,2361,1073,596,477
